Clinic,Provider,Category,Item,Details,Additional Info
"Waldorf, MD",Dr. Madison Knodell,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:00"", ""col_3"": ""M-F"", ""col_4"": ""(Mgr: Greg)"", ""col_5"": ""7:30 - 4:00"", ""col_6"": ""Yes"", ""col_7"": ""Yes"", ""col_8"": ""Yes"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_11"": ""Yes"", ""col_12"": ""Yes"", ""col_13"": ""Yes"", ""col_14"": ""Yes"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""Yes"", ""col_18"": ""Yes"", ""col_19"": ""Yes (VNG, Hallpike, positionals and Epley)"", ""col_20"": ""Yes"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""No""}","Hours: 8:00-4:00, Days: M-F"
"White Plains, MD",Dr. Casey Gaskins,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:00"", ""col_3"": ""M-F"", ""col_4"": ""Ceirra Harris (Mgr: Greg)"", ""col_5"": ""7:30 - 4:00"", ""col_6"": ""Yes"", ""col_7"": ""Yes"", ""col_8"": ""Yes"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_11"": ""Yes"", ""col_12"": ""Yes"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""Yes"", ""col_18"": ""Yes"", ""col_19"": ""Yes (VNG, Hallpike, positionals and Epley)"", ""col_20"": ""Yes"", ""col_21"": ""Yes"", ""col_22"": ""Yes (Cochlear and Advanced Bionics)"", ""col_23"": ""No"", ""col_24"": ""No"", ""col_25"": ""Yes""}","Hours: 8:00-4:00, Days: M-F"
"Baltimore Highlands, MD",Dr. Myles Marion,Provider Services,Service Matrix,"{""col_2"": ""8:30-4:30"", ""col_3"": ""M, Th"", ""col_4"": ""Jhaniya West"", ""col_5"": ""8:30-4:30"", ""col_6"": ""Yes"", ""col_7"": ""Yes (age 4 and up)"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_11"": ""Yes - ABR only"", ""col_12"": ""No"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""Yes (not infants)"", ""col_18"": ""Yes"", ""col_19"": ""yes"", ""col_20"": ""NO"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""No"", ""col_25"": ""NO""}","Hours: 8:30-4:30, Days: M, Th"
"Ashburn, VA","Anders Eliasson, H.I.S.",Provider Services,Service Matrix,"{""col_2"": ""M-Th: 8:30-5:00; F: 7:30 - 4:00 "", ""col_3"": ""M-F"", ""col_4"": ""Megan Kilby (Mgr: Greg)"", ""col_5"": ""M-Th: 8:30-5:00; F: 7:30 - 4:00 "", ""col_6"": ""YES"", ""col_7"": ""NO"", ""col_8"": ""No"", ""col_9"": ""No"", ""col_10"": ""No"", ""col_11"": ""NO"", ""col_12"": ""NO"", ""col_13"": ""NO"", ""col_14"": ""NO"", ""col_15"": ""No"", ""col_16"": ""NO"", ""col_17"": ""NO"", ""col_18"": ""NO"", ""col_19"": ""NO"", ""col_20"": ""NO"", ""col_21"": ""NO "", ""col_22"": ""NO"", ""col_23"": ""NO"", ""col_24"": ""NO Habla but some French""}","Hours: M-Th: 8:30-5:00; F: 7:30 - 4:00 , Days: M-F"
"Falls Church, VA","Jared Marctte, H.I.S.",Provider Services,Service Matrix,"{""col_2"": ""9:00-5:00"", ""col_3"": ""M-F"", ""col_4"": ""Abigail (Abby) Davis (Mgr: Greg)"", ""col_5"": ""M-F: 8:30-5:00"", ""col_6"": ""YES"", ""col_7"": ""NO"", ""col_8"": ""No"", ""col_9"": ""No"", ""col_10"": ""No"", ""col_11"": ""NO"", ""col_12"": ""NO"", ""col_13"": ""Yes "", ""col_14"": ""NO"", ""col_15"": ""No"", ""col_16"": ""NO"", ""col_17"": ""NO"", ""col_18"": ""Limited"", ""col_19"": ""NO"", ""col_20"": ""NO"", ""col_21"": ""NO"", ""col_22"": ""NO"", ""col_23"": ""NO"", ""col_24"": ""NO"", ""col_25"": ""NO"", ""col_26"": ""NO""}","Hours: 9:00-5:00, Days: M-F"
"Midlothian, VA","Veronica Sutter, Au.D., CCC-A",Provider Services,Service Matrix,"{""col_2"": ""8:30-4:30"", ""col_3"": ""Tu, Wed, Thurs"", ""col_4"": "" Alanna Finn (Mgr: Greg)"", ""col_5"": ""8:00-4:30"", ""col_6"": ""Yes - currently no 3rd parties - refer to MECH"", ""col_7"": ""No"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_11"": ""No"", ""col_12"": ""No"", ""col_13"": ""Yes "", ""col_14"": ""NO"", ""col_15"": ""No"", ""col_16"": ""NO"", ""col_17"": ""No"", ""col_18"": ""Yes "", ""col_19"": ""No "", ""col_20"": ""NO"", ""col_21"": ""No "", ""col_22"": ""NO"", ""col_23"": ""NO"", ""col_24"": ""NO""}","Hours: 8:30-4:30, Days: Tu, Wed, Thurs"
"Fredericksburg, VA","Scott C. Elbert, M. Aud., FAAA, BC-HIS, Audiologist",Provider Services,Service Matrix,"{""col_2"": ""9-2 everyday"", ""col_3"": ""M-F"", ""col_4"": ""Briant Bridge (Mgr: Greg)"", ""col_5"": ""8:30-5 M-F"", ""col_6"": ""YES"", ""col_7"": ""YES - Ages 6 & up"", ""col_8"": ""No"", ""col_9"": ""Tymp & Reflexes only"", ""col_10"": ""No"", ""col_11"": ""NO"", ""col_12"": ""NO"", ""col_13"": ""NO"", ""col_14"": ""NO"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""YES"", ""col_18"": ""Limited"", ""col_19"": ""NO"", ""col_20"": ""NO"", ""col_21"": ""NO"", ""col_22"": ""NO"", ""col_23"": ""NO"", ""col_24"": ""NO""}","Hours: 9-2 everyday, Days: M-F"
Mechanicsville,"Veronica Sutter, Au.D., CCC-A",Provider Services,Service Matrix,"{""col_2"": ""8:00-4:00"", ""col_3"": ""Mon & Fri (second Wed and last Wed of every month)"", ""col_4"": ""Saudia Casillas-Gonzalez (Mgr: Greg)"", ""col_5"": ""8:00-4:30"", ""col_6"": ""Yes - currently only 3rd parties UHC-H and Amplifon"", ""col_7"": ""No"", ""col_8"": ""No"", ""col_9"": ""Tymps & Reflexes"", ""col_10"": ""No"", ""col_11"": ""No"", ""col_12"": ""No"", ""col_13"": ""Yes"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""No"", ""col_18"": ""Yes"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""No""}","Hours: 8:00-4:00, Days: Mon & Fri (second Wed and last Wed of every month)"
Warminster,Dr. Holli Lish,Provider Services,Service Matrix,"{""col_2"": ""Mon: 11:00-7:00\nWed-Thurs: 8:30-4:00"", ""col_3"": ""Mon-Thurs"", ""col_4"": ""Kris Tregnan\n\nRoni Lachow"", ""col_5"": ""Anj Pirner: 267.614.7735"", ""col_6"": ""Mon-Fri\n8:00-4:30"", ""col_7"": ""Yes"", ""col_8"": ""yes \n>3 years old"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""no"", ""col_12"": ""no"", ""col_13"": ""no"", ""col_14"": ""no"", ""col_15"": ""yes but limited"", ""col_16"": ""yes"", ""col_17"": ""no"", ""col_18"": ""yes"", ""col_19"": ""no"", ""col_21"": ""no"", ""col_22"": ""no"", ""col_23"": ""yes""}","Hours: Mon: 11:00-7:00 Wed-Thurs: 8:30-4:00, Days: Mon-Thurs"
Warminster,Dr. Marisa Fassnacht,Provider Services,Service Matrix,"{""col_2"": ""Mon-Thurs: 8:30-5:00\nFri: 9:00-3:00"", ""col_3"": ""Mon-Fri"", ""col_7"": ""Yes"", ""col_8"": ""Yes \n>3 years old"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""no"", ""col_12"": ""no"", ""col_13"": ""no"", ""col_14"": ""no"", ""col_15"": ""yes but limited"", ""col_16"": ""yes"", ""col_17"": ""no"", ""col_18"": ""yes"", ""col_19"": ""no"", ""col_21"": ""basic, non-fluent"", ""col_22"": ""no "", ""col_23"": ""yes""}","Hours: Mon-Thurs: 8:30-5:00 Fri: 9:00-3:00, Days: Mon-Fri"
Rise,Dr. Maryann Nikander,Provider Services,Service Matrix,"{""col_2"": ""8:30-5:00"", ""col_3"": ""Tues & Thurs"", ""col_7"": ""Yes"", ""col_8"": ""Yes \n>3 years old"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""no"", ""col_12"": ""minimal"", ""col_13"": ""no"", ""col_14"": ""no"", ""col_15"": ""yes, but rare"", ""col_16"": ""no"", ""col_17"": ""no"", ""col_18"": ""yes"", ""col_19"": ""no"", ""col_21"": ""basic, non-fluent"", ""col_22"": ""no"", ""col_23"": ""yes""}","Hours: 8:30-5:00, Days: Tues & Thurs"
Rise,Dr. Arantxa Rosario,Provider Services,Service Matrix,"{""col_2"": ""Mon: 8:30-6:30 Wed-Thurs: 8:00-6:00 Fri: 8:00-3:00"", ""col_3"": ""Mon & Wed-Fri"", ""col_7"": ""Yes"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_10"": ""No"", ""col_11"": ""No"", ""col_12"": ""Minimal"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""Limited"", ""col_17"": ""No"", ""col_18"": ""Yes"", ""col_19"": ""Yes (Cochlear & AB)"", ""col_20"": ""Yes (Cochlear & Oticon)"", ""col_21"": ""No"", ""col_22"": ""Yes"", ""col_23"": ""Yes""}","Hours: Mon: 8:30-6:30 Wed-Thurs: 8:00-6:00 Fri: 8:00-3:00, Days: Mon & Wed-Fri"
Lansdale,Dr. Holly Forst,Provider Services,Service Matrix,"{""col_2"": ""8:00 - 5:30"", ""col_3"": ""off monday"", ""col_7"": ""Yes"", ""col_8"": ""Yes, 5+"", ""col_9"": ""Yes"", ""col_10"": ""no"", ""col_11"": ""no"", ""col_12"": ""no"", ""col_13"": ""no"", ""col_14"": ""no"", ""col_15"": ""no"", ""col_16"": ""yes"", ""col_17"": ""no"", ""col_18"": ""yes"", ""col_19"": ""no"", ""col_21"": ""no"", ""col_22"": ""no""}","Hours: 8:00 - 5:30, Days: off monday"
Rise,Dr. Madelynn Petrancuri,Provider Services,Service Matrix,"{""col_2"": ""8:00-5:30"", ""col_3"": ""off Fri"", ""col_7"": ""Yes"", ""col_8"": ""yes, 8+"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""no"", ""col_12"": ""no"", ""col_13"": ""no"", ""col_14"": ""no"", ""col_15"": ""no"", ""col_16"": ""yes"", ""col_17"": ""no"", ""col_18"": ""yes"", ""col_19"": ""yes"", ""col_21"": ""no"", ""col_22"": ""no"", ""col_23"": ""yes, verifit""}","Hours: 8:00-5:30, Days: off Fri"
Rise,Dr. Tiffany Connatser,Provider Services,Service Matrix,"{""col_2"": ""2024-08-06T00:00:00"", ""col_3"": ""off wed"", ""col_7"": ""yes"", ""col_8"": ""yes 8+"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""no"", ""col_12"": ""yes"", ""col_13"": ""no"", ""col_14"": ""no"", ""col_15"": ""no"", ""col_16"": ""yes"", ""col_17"": ""no"", ""col_18"": ""yes"", ""col_19"": ""yes"", ""col_21"": ""yes- not an interpreter "", ""col_22"": ""no"", ""col_23"": ""yes""}","Hours: 2024-08-06 00:00:00, Days: off wed"
Bala Cynwyd,Dr. Caitlin Pertmer,Provider Services,Service Matrix,"{""col_2"": ""Mon-Thurs: 8:00-5:30\nFri: 8:00-12:00"", ""col_3"": ""\nMon-Fri"", ""col_4"": ""Sarah Hochstadt"", ""col_5"": ""Anj Pirner: 267.614.7735\n"", ""col_6"": ""Mon-Thurs: 9-5ish, Fri 8:30-3ish"", ""col_7"": ""Yes"", ""col_8"": ""Yes, 10+"", ""col_9"": ""yes"", ""col_11"": ""no"", ""col_12"": ""no"", ""col_13"": ""no"", ""col_14"": ""yes"", ""col_15"": ""no"", ""col_16"": ""yes"", ""col_17"": ""not yet"", ""col_18"": ""yes"", ""col_19"": ""no"", ""col_21"": ""no"", ""col_22"": ""no"", ""col_23"": ""Yes, Inventis""}","Hours: Mon-Thurs: 8:00-5:30 Fri: 8:00-12:00, Days: Mon-Fri"
Exeter,Dr. Mindy Brudereck,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:30"", ""col_3"": ""Tues & Thurs"", ""col_4"": ""Lori Yanos"", ""col_5"": ""Anj Pirner: 267.614.7735"", ""col_6"": ""Mon-Fri\n8:00-4:30"", ""col_7"": ""Yes"", ""col_8"": ""Yes all ages"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""no"", ""col_12"": ""yes"", ""col_13"": ""no"", ""col_14"": ""yes"", ""col_15"": ""Yes but rare"", ""col_16"": ""limited"", ""col_17"": ""no"", ""col_18"": ""no"", ""col_19"": ""no"", ""col_21"": ""no"", ""col_22"": ""basic, non-fluent. I can understand and read better than speak"", ""col_23"": ""no""}","Hours: 8:00-4:30, Days: Tues & Thurs"
Exeter,Dr. Scott MacDonald,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:30"", ""col_3"": ""Mon & Wed"", ""col_7"": ""Yes"", ""col_8"": ""yes all ages"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""no"", ""col_12"": ""yes"", ""col_13"": ""no"", ""col_14"": ""yes"", ""col_15"": ""no"", ""col_16"": ""limited"", ""col_17"": ""no"", ""col_18"": ""no"", ""col_19"": ""no"", ""col_21"": ""no"", ""col_22"": ""no"", ""col_23"": ""no""}","Hours: 8:00-4:30, Days: Mon & Wed"
Wyomissing,Dr. Mindy Brudereck,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:30"", ""col_3"": ""Mon & Wed"", ""col_4"": ""Eveline Mahoney"", ""col_5"": ""Anj Pirner: 267.614.7735"", ""col_6"": ""Mon-Fri\n8:00-4:30"", ""col_7"": ""Yes"", ""col_8"": ""Yes all ages"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""ABR screening only"", ""col_12"": ""yes"", ""col_13"": ""no"", ""col_14"": ""yes"", ""col_15"": ""Yes but rare"", ""col_16"": ""limited"", ""col_17"": ""no"", ""col_18"": ""no"", ""col_19"": ""yes"", ""col_21"": ""no"", ""col_22"": ""basic, non-fluent"", ""col_23"": ""yes""}","Hours: 8:00-4:30, Days: Mon & Wed"
Wyomissing,Dr. Scott MacDonald,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:30"", ""col_3"": ""Tues, Thurs, Fri"", ""col_7"": ""Yes"", ""col_8"": ""yes all ages "", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""ABR screening only"", ""col_12"": ""yes"", ""col_13"": ""no"", ""col_14"": ""yes"", ""col_15"": ""no"", ""col_16"": ""limited"", ""col_17"": ""no"", ""col_18"": ""no"", ""col_19"": ""yes"", ""col_21"": ""no"", ""col_22"": ""no"", ""col_23"": ""yes""}","Hours: 8:00-4:30, Days: Tues, Thurs, Fri"
Hillandale,Dr. Jeff Zolt,Provider Services,Service Matrix,"{""col_2"": ""9:00-4:00"", ""col_3"": ""Mon-Fri"", ""col_4"": ""Andi Zolt"", ""col_5"": ""Greg Maffett: 240.400.1489"", ""col_6"": ""Mon-Thurs 9:00-4:00"", ""col_7"": ""Yes"", ""col_8"": ""Yes, ages 8 and up"", ""col_9"": ""Yes"", ""col_10"": ""No"", ""col_11"": ""No"", ""col_12"": ""Yes"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""Yes, ages 8 and up"", ""col_16"": ""limited"", ""col_17"": ""no"", ""col_18"": ""No"", ""col_19"": ""No"", ""col_21"": ""No"", ""col_22"": ""No""}","Hours: 9:00-4:00, Days: Mon-Fri"
Potomac,Dr. Cindy Leeb,Provider Services,Service Matrix,"{""col_2"": ""7:00-3:00/3:30 "", ""col_3"": ""Mon & Wed Every other Tues"", ""col_4"": ""Summer Graves-Cregger"", ""col_5"": ""Greg Maffett: 240.400.1489"", ""col_6"": ""Mon & Wed 7:00-3:30"", ""col_7"": ""Yes"", ""col_8"": ""Yes, ages 7 and up"", ""col_9"": ""Yes all"", ""col_10"": ""No"", ""col_11"": ""No"", ""col_12"": ""Yes"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""Yes, ages 7 and up"", ""col_16"": ""yes"", ""col_17"": ""no"", ""col_18"": ""Yes"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""no""}","Hours: 7:00-3:00/3:30 , Days: Mon & Wed Every other Tues"
"Annapolis, MD",Dr. Danielle Mills,Provider Services,Service Matrix,"{""col_2"": ""Mon-Fri: 8:30-4:30"", ""col_3"": ""Mon-Fri"", ""col_4"": ""Sheree Ruhl (Mgr: Andrea)"", ""col_5"": ""Mon-Fri: 8:30-4:30"", ""col_6"": ""Yes"", ""col_7"": ""Age 5+"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_11"": ""No"", ""col_12"": ""No"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""5 and up"", ""col_17"": ""Yes"", ""col_18"": ""Limited"", ""col_19"": ""No"", ""col_20"": ""Re-fits only"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""NO""}","Hours: Mon-Fri: 8:30-4:30, Days: Mon-Fri"
"Ashburn, VA","Anders Eliasson, H.I.S.",Provider Services,Service Matrix,"{""col_2"": ""M-Th: 8:30-5:00; F: 7:30 - 4:00 "", ""col_3"": ""M-F"", ""col_4"": ""Megan Kilby (Mgr: Greg)"", ""col_5"": ""M-Th: 8:30-5:00; F: 7:30 - 4:00 "", ""col_6"": ""YES"", ""col_7"": ""NO"", ""col_8"": ""No"", ""col_9"": ""Audiograms/ Hearing evals/ Hearing Aids"", ""col_10"": ""NO"", ""col_11"": ""NO"", ""col_12"": ""NO"", ""col_13"": ""NO"", ""col_14"": ""NO"", ""col_15"": ""NO"", ""col_16"": ""NO"", ""col_17"": ""NO"", ""col_18"": ""NO"", ""col_19"": ""NO"", ""col_20"": ""NO "", ""col_21"": ""NO"", ""col_22"": ""NO"", ""col_23"": ""NO Habla"", ""col_24"": ""NO""}","Hours: M-Th: 8:30-5:00; F: 7:30 - 4:00 , Days: M-F"
"Baltimore Highlands, MD",Dr. Abigail Katz,Provider Services,Service Matrix,"{""col_2"": ""8:30-4:30"", ""col_3"": ""M, Th"", ""col_4"": ""Jhaniya West (Mgr: Greg)"", ""col_5"": ""8:30-4:30"", ""col_6"": ""Yes"", ""col_7"": ""Yes (age 4 and up)"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_11"": ""Yes - ABR only"", ""col_12"": ""No"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""Yes (not infants)"", ""col_17"": ""Yes"", ""col_18"": ""yes"", ""col_19"": ""NO"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""NO""}","Hours: 8:30-4:30, Days: M, Th"
Bala Cynwyd,Dr. Caitlin Pertmer,Provider Services,Service Matrix,"{""col_2"": ""Mon-Thurs: 8:00-5:30\nFri: 8:00-12:00"", ""col_3"": ""\nMon-Fri"", ""col_4"": ""Sarah Hochstadt (Mgr. Anj Pirner) "", ""col_5"": ""8:00-5:30 (M-Thur) 8:00-12:00 (F)"", ""col_6"": ""Yes"", ""col_7"": ""Yes, 10+"", ""col_8"": ""yes"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""yes"", ""col_12"": ""no"", ""col_13"": ""yes"", ""col_14"": ""no"", ""col_15"": ""yes"", ""col_16"": ""no"", ""col_17"": ""yes"", ""col_18"": ""yes"", ""col_19"": ""Yes"", ""col_20"": ""Yes"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""yes""}","Hours: Mon-Thurs: 8:00-5:30 Fri: 8:00-12:00, Days: Mon-Fri"
"Chevy Chase, MD",Dr. Adam Alamillo,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:00"", ""col_3"": ""Mon-Fri"", ""col_4"": ""Whitney Jefferson (Mgr: Greg)"", ""col_5"": ""7:30-4 Mon-Fri"", ""col_6"": ""YES "", ""col_7"": ""Ages 5 and up"", ""col_8"": ""No"", ""col_9"": ""YES"", ""col_11"": ""Yes"", ""col_12"": ""NO"", ""col_13"": ""YES"", ""col_14"": ""NO"", ""col_15"": ""NO/ONLY OAES UP TO 12K"", ""col_16"": ""No"", ""col_17"": ""YES"", ""col_18"": ""Yes"", ""col_19"": ""No"", ""col_20"": ""YES"", ""col_21"": ""NO"", ""col_22"": ""NO"", ""col_23"": ""Some"", ""col_24"": ""NO""}","Hours: 8:00-4:00, Days: Mon-Fri"
"Chevy Chase, MD",Dr. Daniel Eisenberg,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:00 Mon, Tues, Thurs\n8:00-5:00 Wed\n8:00-3:00 Fri"", ""col_3"": ""Mon-Fri"", ""col_6"": ""YES"", ""col_7"": ""Ages 5 and up"", ""col_8"": ""No"", ""col_9"": ""YES"", ""col_11"": ""Yes"", ""col_12"": ""No"", ""col_13"": ""Yes"", ""col_14"": ""No"", ""col_15"": ""NO/ONLY OAES UP TO 12K"", ""col_16"": ""Yes"", ""col_17"": ""Yes"", ""col_18"": ""Yes"", ""col_19"": ""NO"", ""col_20"": ""Yes"", ""col_21"": ""NO"", ""col_22"": ""NO"", ""col_23"": ""NO"", ""col_24"": ""NO""}","Hours: 8:00-4:00 Mon, Tues, Thurs 8:00-5:00 Wed 8:00-3:00 Fri, Days: Mon-Fri"
"Ellicott City, MD",Dr. Stacey S. Cole,Provider Services,Service Matrix,"{""col_2"": ""8:00 am - 4:00 pm 12 noon - 3pm on Friday, Saturday by Appointment Only"", ""col_3"": ""Monday - Friday Saturday by Appointment only"", ""col_4"": ""Jasmine Bailey (Mgr: Andrea)"", ""col_5"": ""8:00 - 4:30 pm M-F"", ""col_6"": ""YES"", ""col_7"": ""YES (all ages)"", ""col_8"": ""YES"", ""col_9"": ""YES"", ""col_10"": ""YES"", ""col_11"": ""YES"", ""col_12"": ""NO"", ""col_13"": ""YES"", ""col_14"": ""No"", ""col_15"": ""YES"", ""col_16"": ""Newborns and UP"", ""col_17"": ""YES"", ""col_18"": ""YES"", ""col_19"": ""Yes"", ""col_20"": ""YES"", ""col_21"": ""YES"", ""col_22"": ""YES"", ""col_23"": ""No"", ""col_24"": ""Yes"", ""col_25"": ""Yes""}","Hours: 8:00 am - 4:00 pm 12 noon - 3pm on Friday, Saturday by Appointment Only, Days: Monday - Friday Saturday by Appointment only"
Exeter,Dr. Mindy Brudereck,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:30"", ""col_3"": ""Tues & Thurs"", ""col_4"": ""Lori Yanos"", ""col_5"": ""Anj Pirner: 267.614.7735"", ""col_6"": ""Mon-Fri\n8:00-4:30"", ""col_7"": ""Yes"", ""col_8"": ""Yes all ages"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""abr screening only"", ""col_12"": ""yes"", ""col_13"": ""no"", ""col_14"": ""yes"", ""col_15"": ""Yes but rare"", ""col_16"": ""limited"", ""col_17"": ""no"", ""col_18"": ""no"", ""col_19"": ""yes"", ""col_21"": ""no"", ""col_22"": ""basic, non-fluent. I can understand and read better than speak"", ""col_23"": ""no""}","Hours: 8:00-4:30, Days: Tues & Thurs"
Exeter,Dr. Scott MacDonald,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:30"", ""col_3"": ""Mon & Wed /Fri Afternoon"", ""col_7"": ""Yes"", ""col_8"": ""yes all ages"", ""col_9"": ""yes"", ""col_10"": ""no"", ""col_11"": ""abr screening only"", ""col_12"": ""yes"", ""col_13"": ""no"", ""col_14"": ""yes"", ""col_15"": ""no"", ""col_16"": ""limited"", ""col_17"": ""no"", ""col_18"": ""no"", ""col_19"": ""yes"", ""col_21"": ""no"", ""col_22"": ""no"", ""col_23"": ""no""}","Hours: 8:00-4:30, Days: Mon & Wed /Fri Afternoon"
"Frederick, MD",Dr. Jenifer Cushing,Provider Services,Service Matrix,"{""col_2"": ""T & Th: 8:30-4:30"", ""col_3"": ""T, Th"", ""col_4"": ""Brandi Barden & Gabrielle Wright (Mgr: Greg)"", ""col_5"": ""Mon-Fri 8:15 - 4:45"", ""col_6"": ""YES"", ""col_7"": ""YES\n"", ""col_8"": ""YES"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_11"": ""YES"", ""col_12"": ""YES"", ""col_13"": ""YES"", ""col_14"": ""NO"", ""col_15"": ""YES"", ""col_16"": ""YES- all ages"", ""col_17"": ""YES"", ""col_18"": ""YES"", ""col_19"": ""Yes"", ""col_20"": ""YES"", ""col_21"": ""Yes (Cochlear and Advanced Bionics)"", ""col_22"": ""NO"", ""col_23"": ""NOT fluent, Basic Spanish"", ""col_24"": ""Yes""}","Hours: T & Th: 8:30-4:30, Days: T, Th"
Frederick,Dr. Lauren Wirebach,Provider Services,Service Matrix,"{""col_2"": ""8:30 - 4:30"", ""col_3"": ""Mon, Fri"", ""col_6"": ""Yes"", ""col_7"": ""Yes"", ""col_8"": ""Yes"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_11"": ""YES"", ""col_12"": ""Yes"", ""col_13"": ""Yes"", ""col_14"": ""No"", ""col_15"": ""Yes"", ""col_16"": ""Yes, ages 5 and up"", ""col_17"": ""Yes"", ""col_18"": ""Yes"", ""col_19"": ""Yes"", ""col_20"": ""Yes"", ""col_21"": ""No"", ""col_22"": ""Yes"", ""col_23"": ""No"", ""col_24"": ""Yes""}","Hours: 8:30 - 4:30, Days: Mon, Fri"
Frederick,Dr. Becca Kelly,Provider Services,Service Matrix,"{""col_2"": ""8:30 - 4:30"", ""col_3"": ""M - F"", ""col_6"": ""Yes "", ""col_7"": ""yes"", ""col_8"": ""Yes"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_11"": ""Yes"", ""col_12"": ""Yes"", ""col_13"": ""Yes"", ""col_14"": ""No"", ""col_15"": ""Yes"", ""col_16"": ""Yes"", ""col_17"": ""Yes"", ""col_18"": ""Yes"", ""col_19"": ""Yes"", ""col_20"": ""yes"", ""col_21"": ""Yes (all manufacturers)"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""Yes""}","Hours: 8:30 - 4:30, Days: M - F"
"Fredericksburg, VA","Scott C. Elbert, M. Aud., FAAA, BC-HIS, Audiologist",Provider Services,Service Matrix,"{""col_2"": ""9-2 everyday"", ""col_3"": ""M-F"", ""col_4"": ""Briant Bridge (Mgr: Greg)"", ""col_5"": ""8:30-5 M-F"", ""col_6"": ""YES"", ""col_7"": ""YES - Ages 6 & up"", ""col_8"": ""No"", ""col_9"": ""Tymp & Reflexes only"", ""col_10"": ""NO"", ""col_11"": ""NO"", ""col_12"": ""NO"", ""col_13"": ""NO"", ""col_14"": ""No"", ""col_15"": ""NO"", ""col_16"": ""YES"", ""col_17"": ""Limited"", ""col_18"": ""NO"", ""col_19"": ""NO"", ""col_20"": ""NO"", ""col_21"": ""NO"", ""col_22"": ""NO"", ""col_23"": ""NO"", ""col_24"": ""YES""}","Hours: 9-2 everyday, Days: M-F"
